article_number,source_id,title,journal,year,doi,source_url,pdf_url,access_type,priority_tier,local_pdf_filename,file_size_bytes,content_sha256,canonical_source_id,duplicate_of,processing_status,title_identification_method,candidate_match_score,title_verified,needs_human_check,ready_for_parsing,parsed_text_present,notes
011,high_throughput_stochastic_tensile_performance_of_additively_manufactured_2017,High-throughput stochastic tensile performance of additively manufactured stainless steel,Journal of Materials Processing Technology,2017,10.1016/j.jmatprotec.2016.10.023,https://www.sciencedirect.com/science/article/pii/S0924013616303727,https://www.sciencedirect.com/science/article/pii/S0924013616303727/pdfft?md5=8b8a0b8a8b8a8b8a8b8a8b8a8b8a8b8a&pid=1-s2.0-S0924013616303727-main.pdf,open_access,Tier 1,011_jmpt_2017_high_throughput_stochastic_tensile_performance.pdf,4195326,5106e31f581d30f22c9660091fa0c0bdf6ad8c0d2e4a72f27b2f9685a5bb6b55,high_throughput_stochastic_tensile_performance_of_additively_manufactured_2017,,canonical,doi_exact,1.0,True,False,True,True,Manifest records metadata only; the PDF itself is not included.
012,additive_manufacturing_of_high_strength_eutectic_aluminium_nickel_2021,Additive manufacturing of high-strength eutectic aluminium-nickel alloys – Processing and mechanical properties,Journal of Materials Processing Technology,2021,10.1016/j.jmatprotec.2021.117315,https://www.sciencedirect.com/science/article/pii/S0924013621002752,https://www.sciencedirect.com/science/article/pii/S0924013621002752/pdfft?md5=8b8a0b8a8b8a8b8a8b8a8b8a8b8a8b8a&pid=1-s2.0-S0924013621002752-main.pdf,open_access,Tier 1,012_jmpt_2021_aluminium_nickel_high_strength_eutectic_alloys_processing_mechanical.pdf,8435527,47da5e1d3862cedb75125d18f2be0845dd6b5b2218e375df9ba438d9b3130c45,additive_manufacturing_of_high_strength_eutectic_aluminium_nickel_2021,,canonical,doi_exact,1.0,True,False,True,True,Manifest records metadata only; the PDF itself is not included.
013,regulating_microstructure_and_strength_ductility_synergy_of_laser_2026,Regulating microstructure and strength-ductility synergy of laser-arc hybrid additive manufactured Al-Zn-Mg-Cu alloy,Journal of Materials Processing Technology,2026,10.1016/j.jmatprotec.2025.119156,https://www.sciencedirect.com/science/article/pii/S0924013625004467,https://www.sciencedirect.com/science/article/pii/S0924013625004467/pdfft?md5=8b8a0b8a8b8a8b8a8b8a8b8a8b8a8b8a&pid=1-s2.0-S0924013625004467-main.pdf,open_access,Tier 1,013_jmpt_2026_regulating_microstructure_strength_ductility_synergy_laser_arc_hybrid_al_zn.pdf,37858652,092ad37411d79f15c097598e70b109db5abbbe4f60c22073f556f4a862837364,regulating_microstructure_and_strength_ductility_synergy_of_laser_2026,,canonical,doi_exact,1.0,True,False,True,True,Manifest records metadata only; the PDF itself is not included.
014,anisotropic_properties_of_directed_energy_deposition_ded_processed_2016,Anisotropic properties of directed energy deposition (DED)-processed Ti–6Al–4V,Journal of Manufacturing Processes,2016,10.1016/j.jmapro.2016.06.020,https://www.sciencedirect.com/science/article/pii/S1526612516300779,,open_access,Tier 1,014_jmapro_2016_ti_6al_4v_anisotropic_directed_energy_deposition_ded_processed.pdf,2378925,5e1830408f686cba93040366969d877d29e7ec285370528edf1bb6b4c530c385,anisotropic_properties_of_directed_energy_deposition_ded_processed_2016,,canonical,doi_exact,1.0,True,False,True,True,Manifest records metadata only; the PDF itself is not included.
015,multi_material_wire_arc_additive_manufacturing_of_low_2021,Multi-Material Wire Arc Additive Manufacturing of low and high alloyed aluminium alloys with in-situ material analysis,Journal of Manufacturing Processes,2021,10.1016/j.jmapro.2021.08.005,https://www.sciencedirect.com/science/article/pii/S1526612521005685,,open_access,Tier 1,015_jmapro_2021_aluminium_multi_material_wire_arc_low_high_alloyed_alloys_situ.pdf,6410302,09c93387f036db84bc87a7ad1908f9052c2c32afba117f2e6662080bfd19d180,multi_material_wire_arc_additive_manufacturing_of_low_2021,,canonical,doi_exact,1.0,True,False,True,True,Manifest records metadata only; the PDF itself is not included.
016,fatigue_of_laser_powder_bed_fusion_processed_17_2021,Fatigue of laser powder bed fusion processed 17-4 stainless steel using prior process exposed powder feedstock,Journal of Manufacturing Processes,2021,10.1016/j.jmapro.2021.09.045,https://www.sciencedirect.com/science/article/pii/S1526612521007064,,open_access,Tier 1,016_jmapro_2021_17_fatigue_laser_powder_bed_fusion_processed_prior_process_exposed.pdf,12009733,6b9a32bc4cf82ac6521d8f92f47573e54646c5ae826da02b1ede35f0101c6304,fatigue_of_laser_powder_bed_fusion_processed_17_2021,,canonical,doi_exact,1.0,True,False,True,True,Manifest records metadata only; the PDF itself is not included.
017,strain_energy_based_fatigue_failure_analyses_of_lb_2022,Strain energy-based fatigue failure analyses of LB-PBF Inconel 718: Effect of build orientation,Additive Manufacturing,2022,10.1016/j.addma.2022.102661,https://www.sciencedirect.com/science/article/pii/S2214860422000677,https://www.sciencedirect.com/science/article/pii/S2214860422000677/pdfft?md5=3e0a1b8a1b8a1b8a1b8a1b8a1b8a1b8a&pid=1-s2.0-S2214860422000677-main.pdf,open_access,Tier 1,017_addma_2022_inconel_718_strain_energy_based_fatigue_failure_analyses_lb_pbf.pdf,16726809,627c6e41a3ff73bc0154c2c100ba8f168585392ee3eae3f36a95ae0f42dfc2a7,strain_energy_based_fatigue_failure_analyses_of_lb_2022,,canonical,doi_exact,1.0,True,False,True,True,Manifest records metadata only; the PDF itself is not included.
018,additively_manufactured_in718_in_thin_wall_and_narrow_2022,Additively manufactured IN718 in thin wall and narrow flow channel geometries: Effects of post-processing and wall thickness on tensile and fatigue behaviors,Additive Manufacturing,2022,10.1016/j.addma.2022.103264,https://www.sciencedirect.com/science/article/abs/pii/S2214860422006534,,open_access,Tier 1,018_addma_2022_in718_thin_wall_narrow_flow_channel_geometries_post_processing_thickness.pdf,17038127,29ee8675b05fa0e20e91bd47510d0beb47f2a8d5527a3fa4bdd5c029594cb5e8,additively_manufactured_in718_in_thin_wall_and_narrow_2022,,canonical,doi_exact,1.0,True,False,True,True,Manifest records metadata only; the PDF itself is not included.
019,3d_printing_parameter_optimisation_combined_with_heat_treatment_2025,3D Printing parameter optimisation combined with heat treatment for achieving high density and enhanced performance in refractory high-entropy alloys,Virtual and Physical Prototyping,2025,10.1080/17452759.2025.2524524,https://www.tandfonline.com/doi/abs/10.1080/17452759.2025.2524524,https://www.tandfonline.com/doi/pdf/10.1080/17452759.2025.2524524,open_access,Tier 2,019_vpp_2025_3d_printing_parameter_optimisation_combined_heat_treatment_achieving_high_density.pdf,3131391,d188ea8a4bd436ad416d594de664433bcd871fa6f173826df1e49181d99ce8d5,3d_printing_parameter_optimisation_combined_with_heat_treatment_2025,,canonical,doi_exact,1.0,True,False,True,True,Manifest records metadata only; the PDF itself is not included.
020,020_adem_2024_fatigue_crack_characteristics_gradient_predeformed_pearlitic_multiaxial_loading,Fatigue Crack Characteristics in Gradient Predeformed Pearlitic Steel under Multiaxial Loading,Advanced Engineering Materials,2024,10.1002/adem.202400950,https://doi.org/10.1002/adem.202400950,,unknown,,020_adem_2024_fatigue_crack_characteristics_gradient_predeformed_pearlitic_multiaxial_loading.pdf,4456035,b6b81c0c236da62a83ff77f8683bc22ed4aaa8864f8d47d7c838d27c416acbe1,020_adem_2024_fatigue_crack_characteristics_gradient_predeformed_pearlitic_multiaxial_loading,,canonical,pdf_title_only,0.5101,False,True,True,True,Manifest records metadata only; the PDF itself is not included.
021,021_addma_2024_laser_based_closed_loop_controlled_heat_treatment_residual_stress_relief,Laser‐Based Closed‐Loop Controlled Heat Treatment for Residual Stress Relief of Additively Manufactured AlSi10Mg Components,Additive Manufacturing,2024,10.1002/adem.202401777,https://doi.org/10.1002/adem.202401777,,unknown,,021_addma_2024_laser_based_closed_loop_controlled_heat_treatment_residual_stress_relief.pdf,15048243,07a1f3e3d9ab6fc0589442df1f23f0fbf4ba13d774903575ea3b4e2c2e9c875f,021_addma_2024_laser_based_closed_loop_controlled_heat_treatment_residual_stress_relief,,canonical,pdf_title_only,0.5909,False,True,True,True,Manifest records metadata only; the PDF itself is not included.
022,022_addma_2025_defect_fatigue_correlations_post_processed_laser_powder_bed_fused_metallic,Defect–Fatigue Correlations of Post‐processed Laser Powder Bed Fused Metallic Alloys: A Review,Additive Manufacturing,2025,10.1002/adem.202501266,https://doi.org/10.1002/adem.202501266,,unknown,,022_addma_2025_defect_fatigue_correlations_post_processed_laser_powder_bed_fused_metallic.pdf,22199577,973963a1e60223456d0db5e3bc1cb65c5eee63f620efe54c8d3fbb5b1c07ee52,022_addma_2025_defect_fatigue_correlations_post_processed_laser_powder_bed_fused_metallic,,canonical,pdf_title_only,0.6108,False,True,True,True,Manifest records metadata only; the PDF itself is not included.
023,a_workflow_to_accelerate_microstructure_sensitive_fatigue_life_2026,A Workflow to Accelerate Microstructure‐Sensitive Fatigue Life Predictions,Advanced Engineering Materials,2026,10.1002/adem.202502138,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adem.202502138,https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002/adem.202502138,open_access,Tier 3,023_adem_2026_workflow_accelerate_microstructure_sensitive_fatigue_life_predictions.pdf,2435625,db61c01af17b887ae18f44be7055b4ff624078937534b81892dafe025affc794,a_workflow_to_accelerate_microstructure_sensitive_fatigue_life_2026,,canonical,doi_exact,1.0,True,False,True,True,Manifest records metadata only; the PDF itself is not included.
024,fatigue_properties_of_laser_powder_bed_fused_ta15_2026,"Fatigue Properties of Laser Powder Bed Fused TA15 Titanium Alloy: Anisotropy, Defect Effects, and Life Prediction",Advanced Engineering Materials,2026,10.1002/adem.202502954,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adem.202502954,https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002/adem.202502954,open_access,Tier 3,024_adem_2026_ta15_titanium_fatigue_laser_powder_bed_fused_alloy_anisotropy_defect.pdf,10281036,fc3d858c74bbc9bf3e8e23087d5dd05aa0fb2f727eae128cf6ae8fee1a2ded8d,fatigue_properties_of_laser_powder_bed_fused_ta15_2026,,canonical,doi_exact,1.0,True,False,True,True,Manifest records metadata only; the PDF itself is not included.
025,thermomechanical_fatigue_and_creep_fatigue_interaction_of_inconel_2026,Thermomechanical Fatigue and Creep–Fatigue Interaction of Inconel 718 Additively Manufactured by Laser Beam Powder Bed Fusion,Advanced Engineering Materials,2026,10.1002/adem.202502624,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adem.202502624,https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002/adem.202502624,open_access,Tier 3,025_adem_2026_inconel_718_thermomechanical_fatigue_creep_interaction_laser_beam_powder_bed.pdf,2277941,656c28de4c766f1cc04d5f8ca867b1bd8efaa88d4164a3ebfe3cb63e073e3086,thermomechanical_fatigue_and_creep_fatigue_interaction_of_inconel_2026,,canonical,doi_exact,1.0,True,False,True,True,Manifest records metadata only; the PDF itself is not included.
026,inconel_939_performance_under_isothermal_and_thermomechanical_fatigue_2026,Inconel 939 Performance Under Isothermal and Thermomechanical Fatigue Loading,Advanced Engineering Materials,2026,10.1002/adem.202502716,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adem.202502716,https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002/adem.202502716,open_access,Tier 3,026_adem_2026_inconel_939_performance_isothermal_thermomechanical_fatigue_loading.pdf,4503178,7e7ec23f46be103d0b43b3198223b520c107e46fc0050598145c388db1f9f0fc,inconel_939_performance_under_isothermal_and_thermomechanical_fatigue_2026,,canonical,doi_exact,1.0,True,False,True,True,Manifest records metadata only; the PDF itself is not included.
027,rolling_contact_fatigue_damage_mechanisms_under_non_proportional_2026,Rolling Contact Fatigue Damage Mechanisms Under Non‐Proportional Cyclic Compression–Torsion Loading: A Modified Multiaxial Fatigue Model for Bearing Steel,Advanced Engineering Materials,2026,10.1002/adem.202502873,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adem.202502873,https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002/adem.202502873,open_access,Tier 3,027_adem_2026_rolling_contact_fatigue_damage_mechanisms_non_proportional_cyclic_compression_torsion.pdf,3218029,7f10b2306f676529784343fc05a6447a697657a0f4c9411b6c8a0a165e8f7796,rolling_contact_fatigue_damage_mechanisms_under_non_proportional_2026,,canonical,doi_exact,1.0,True,False,True,True,Manifest records metadata only; the PDF itself is not included.
028,determining_the_necessity_of_post_processing_heat_treatment_2025,Determining the Necessity of Post‐Processing Heat Treatment for the 316L Stainless Steel Manufactured by Laser Powder Bed Fusion through Evaluation of Mechanical and Corrosion Properties,Advanced Engineering Materials,2025,10.1002/adem.202401442,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adem.202401442,,open_access,Tier 3,028_adem_2025_316l_determining_necessity_post_processing_heat_treatment_laser_powder_bed.pdf,24078703,f5aae98ea2e2bebbeaaba9fe929ffc328dd54dc8321ae3c09cc55bf96ff5ddd4,determining_the_necessity_of_post_processing_heat_treatment_2025,,canonical,doi_exact,1.0,True,False,True,True,Manifest records metadata only; the PDF itself is not included.
029,effect_of_hot_isostatic_pressing_treatment_on_porosity_2023,Effect of hot isostatic pressing treatment on porosity reduction and mechanical properties enhancement of 316L stainless steel fabricated by binder jetting,Virtual and Physical Prototyping,2023,10.1080/17452759.2023.2174703,https://www.tandfonline.com/doi/full/10.1080/17452759.2023.2174703,https://www.tandfonline.com/doi/pdf/10.1080/17452759.2023.2174703,open_access,Tier 2,029_vpp_2023_316l_hot_isostatic_pressing_treatment_porosity_reduction_mechanical_enhancement_fabricated.pdf,4512803,f29aa3a5617d7f996356af1244fd9d712a2617d7a92fb9aaba3a5e22cef6d689,effect_of_hot_isostatic_pressing_treatment_on_porosity_2023,,canonical,doi_exact,1.0,True,False,True,True,Manifest records metadata only; the PDF itself is not included.
030,fatigue_performance_of_additively_manufactured_ti_6al_4v_2025,"Fatigue Performance of Additively Manufactured Ti‐6Al‐4V: Impact of Different Kinds of Porosities, Surface, and Heat Treatments in Laser Powder Bed Fusion Productivity Parameters",Advanced Engineering Materials,2025,10.1002/adem.202500854,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adem.202500854,,open_access,Tier 3,030_adem_2025_ti_6al_4v_fatigue_performance_impact_different_kinds_porosities_surface.pdf,25962352,2e8acbcbbea49b040ac2689fa6929ef44ac9db68afdcba4e6858a0e971e24fd4,fatigue_performance_of_additively_manufactured_ti_6al_4v_2025,,canonical,doi_exact,1.0,True,False,True,True,Manifest records metadata only; the PDF itself is not included.
031,031_addma_2024_fatigue_performance_metal_comprehensive_overview,Fatigue performance of metal additive manufacturing: a comprehensive overview,Additive Manufacturing,2024,10.1080/17452759.2024.2302556,https://doi.org/10.1080/17452759.2024.2302556,,unknown,,031_addma_2024_fatigue_performance_metal_comprehensive_overview.pdf,5884041,37c9a35ff38b5c8e42f1249c6a146585b52d876409f676f7257dbc5e64b9f654,031_addma_2024_fatigue_performance_metal_comprehensive_overview,,canonical,pdf_title_only,0.5891,False,True,True,True,Manifest records metadata only; the PDF itself is not included.
032,032_unknownjournal_2026_maraging_fatigue_strength_optimization_aged_x00crnimocoti13,Fatigue Strength Optimization of Aged X00CrNiMoCoTi13‐7‐3‐8 Maraging Stainless Steel,,2026,10.1002/adem.202502170,https://doi.org/10.1002/adem.202502170,,unknown,,032_unknownjournal_2026_maraging_fatigue_strength_optimization_aged_x00crnimocoti13.pdf,27340321,fca91ebbd85e78832626195c4b403cc7ce8b116f83a858fe7f4ddc743d9ae6ac,032_unknownjournal_2026_maraging_fatigue_strength_optimization_aged_x00crnimocoti13,,canonical,pdf_title_only,0.5087,False,True,True,True,Manifest records metadata only; the PDF itself is not included.
033,033_addma_2023_mechanical_metallic_components_produced_usi,Mechanical properties characterisation of metallic components produced by additive manufacturing usi,Additive Manufacturing,2023,10.1080/17452759.2022.2161400,https://doi.org/10.1080/17452759.2022.2161400,,unknown,,033_addma_2023_mechanical_metallic_components_produced_usi.pdf,6438298,716431142f735798e24827c3a3746272ae8a022502a2d538841423d033c0fae4,033_addma_2023_mechanical_metallic_components_produced_usi,,canonical,pdf_title_only,0.6507,False,True,True,True,Manifest records metadata only; the PDF itself is not included.
034,microstructure_mechanical_properties_and_deformation_behaviour_of_lpbf_2024,"Microstructure, mechanical properties, and deformation behaviour of LPBF 316L via post-heat treatment",Virtual and Physical Prototyping,2024,10.1080/17452759.2024.2405623,https://www.tandfonline.com/doi/abs/10.1080/17452759.2024.2405623,https://www.tandfonline.com/doi/pdf/10.1080/17452759.2024.2405623,open_access,Tier 2,034_vpp_2024_316l_microstructure_mechanical_deformation_lpbf_post_heat_treatment.pdf,5445271,1ca57e2eef9c4979e85bfa2bb04a4156e41711105792fade3cb956dc47f10757,microstructure_mechanical_properties_and_deformation_behaviour_of_lpbf_2024,,canonical,doi_exact,1.0,True,False,True,True,Manifest records metadata only; the PDF itself is not included.
035,microstructure_and_mechanical_properties_of_the_wire_arc_2024,Microstructure and mechanical properties of the wire arc additively manufactured 316L/ER70S-6 bimetal structure,Virtual and Physical Prototyping,2024,10.1080/17452759.2024.2375105,https://www.tandfonline.com/doi/abs/10.1080/17452759.2024.2375105,https://www.tandfonline.com/doi/pdf/10.1080/17452759.2024.2375105,open_access,Tier 2,035_vpp_2024_316l_microstructure_mechanical_wire_arc_er70s_bimetal_structure.pdf,4358586,34cd5949d6bfc7d95342465cc4cbfe703dd3e8e9c3bb11d78c20cdc5278155a3,microstructure_and_mechanical_properties_of_the_wire_arc_2024,,canonical,doi_exact,1.0,True,False,True,True,Manifest records metadata only; the PDF itself is not included.
036,036_unknownjournal_2026_optimization_processing_microstructure_hardness_al_ce_ni_mn_zr_alloy,"Optimization of Processing, Microstructure, and Hardness of an Al–Ce–Ni–Mn–Zr Alloy With Laser Additive Manufacturing",,2026,10.1002/adem.202502615,https://doi.org/10.1002/adem.202502615,,unknown,,036_unknownjournal_2026_optimization_processing_microstructure_hardness_al_ce_ni_mn_zr_alloy.pdf,20292748,5222039a3a7f4eef1b538a079c2402411b0670929f1d27944ca9cacda49a1f64,036_unknownjournal_2026_optimization_processing_microstructure_hardness_al_ce_ni_mn_zr_alloy,,canonical,pdf_title_only,0.6753,False,True,True,True,Manifest records metadata only; the PDF itself is not included.
037,process_optimisation_on_fatigue_performance_of_additive_manufactured_2026,Process optimisation on fatigue performance of additive manufactured Ti-6Al-4V in high layer thickness for PBF-LB/M,Virtual and Physical Prototyping,2026,10.1080/17452759.2026.2633869,https://www.tandfonline.com/doi/abs/10.1080/17452759.2026.2633869,https://www.tandfonline.com/doi/pdf/10.1080/17452759.2026.2633869,open_access,Tier 2,037_vpp_2026_ti_6al_4v_process_optimisation_fatigue_performance_high_thickness_pbf.pdf,6182131,3e2a035038ef2487b0ba3ee8fdf3dfe77fd1ad69c84ac413b8ea8c161f6a4dd9,process_optimisation_on_fatigue_performance_of_additive_manufactured_2026,,canonical,doi_exact,1.0,True,False,True,True,Manifest records metadata only; the PDF itself is not included.
038,high_and_low_cycle_fatigue_properties_of_17_2022,"High and low-cycle-fatigue properties of 17–4 PH manufactured via selective laser melting in as-built, machined and hipped conditions",Progress in Additive Manufacturing,2022,10.1007/s40964-021-00217-y,https://link.springer.com/article/10.1007/s40964-021-00217-y,https://link.springer.com/content/pdf/10.1007/s40964-021-00217-y.pdf,open_access,Tier 2,038_progaddmanuf_2022_17_high_low_cycle_fatigue_ph_selective_laser_melting_built.pdf,1945524,602c6493fd060f35cd1f311f04b12aec6505f1ec7a47111e3c34b4c0d173468d,high_and_low_cycle_fatigue_properties_of_17_2022,,canonical,doi_exact,1.0,True,False,True,True,Manifest records metadata only; the PDF itself is not included.
039,039_addma_2022_316l_energy_density_porosity_structure_tensile_produced_laser_powder_bed,The effect of energy density and porosity structure on tensile properties of 316L stainless steel produced by laser powder bed fusion,Additive Manufacturing,2022,10.1007/s40964-022-00281-y,https://doi.org/10.1007/s40964-022-00281-y,,unknown,,039_addma_2022_316l_energy_density_porosity_structure_tensile_produced_laser_powder_bed.pdf,4228338,62ea5cb1bb1299752ca4779b08b5d4f17feb97c8ec03f8dedc6cf4056f95a99d,004_progaddmanuf_2022_316l_energy_density_porosity_tensile,004_progaddmanuf_2022_316l_energy_density_porosity_tensile,duplicate,pdf_title_only,0.6332,False,True,False,False,Manifest records metadata only; the PDF itself is not included. Metadata conflict with canonical source: journal
040,defect_based_fatigue_model_for_additive_manufacturing_2023,Defect-based fatigue model for additive manufacturing,Progress in Additive Manufacturing,2023,10.1007/s40964-022-00376-6,https://link.springer.com/article/10.1007/s40964-022-00376-6,https://link.springer.com/content/pdf/10.1007/s40964-022-00376-6.pdf,open_access,Tier 2,040_progaddmanuf_2023_defect_based_fatigue_model.pdf,1731946,cc76564160a2fcbb77c9b3dbb81299ae8c2e594f241663ec0167540a78c3af2b,defect_based_fatigue_model_for_additive_manufacturing_2023,,canonical,doi_exact,1.0,True,False,True,True,Manifest records metadata only; the PDF itself is not included.
041,atomized_scrap_powder_feedstock_for_sustainable_inconel_718_2023,Atomized scrap powder feedstock for sustainable Inconel 718 additive manufacturing via LPBF: a study of static and fatigue properties,Progress in Additive Manufacturing,2023,10.1007/s40964-023-00547-z,https://link.springer.com/article/10.1007/s40964-023-00547-z,https://link.springer.com/content/pdf/10.1007/s40964-023-00547-z.pdf,open_access,Tier 2,041_progaddmanuf_2023_inconel_718_atomized_scrap_powder_feedstock_sustainable_lpbf_static_fatigue.pdf,3385758,6bdddcb6445bca0eb2a7bb74dd3c39d3e12fe955e8f9c60c914fc63b06508a86,atomized_scrap_powder_feedstock_for_sustainable_inconel_718_2023,,canonical,doi_exact,1.0,True,False,True,True,Manifest records metadata only; the PDF itself is not included.
